1,Lloyd,Pierce,ATL,3,3,34,14,20,18,10,8
2,Nate,McMillan,ATL,1,17,38,27,11,18,10,8
3,Brad,Stevens,BOS,8,8,72,36,36,5,1,4
4,Steve,Nash,BRK,1,1,72,48,24,12,7,5
5,Billy,Donovan,CHI,1,6,72,31,41,0,0,0
6,James,Borrego,CHO,3,4,72,33,39,0,0,0
7,J.B.,Bickerstaff,CLE,2,5,72,22,50,0,0,0
8,Rick,Carlisle,DAL,13,19,72,42,30,7,3,4
9,Michael,Malone,DEN,6,8,72,47,25,10,4,6
10,Dwane,Casey,DET,3,12,72,20,52,0,0,0
11,Steve,Kerr,GSW,7,7,72,39,33,0,0,0
12,Stephen,Silas,HOU,1,1,72,17,55,0,0,0
13,Nate,Bjorkgren,IND,1,1,72,34,38,0,0,0
14,Tyronn,Lue,LAC,1,5,72,47,25,19,10,9
15,Frank,Vogel,LAL,2,10,72,42,30,6,2,4
16,Taylor,Jenkins,MEM,2,2,72,38,34,5,1,4
17,Erik,Spoelstra,MIA,13,13,72,40,32,4,0,4
18,Mike,Budenholzer,MIL,3,8,72,46,26,23,16,7
19,Ryan,Saunders,MIN,3,3,31,7,24,0,0,0
20,Chris,Finch,MIN,1,1,41,16,25,0,0,0
21,Stan,Van Gundy,NOP,1,13,72,31,41,0,0,0
22,Tom,Thibodeau,NYK,1,9,72,41,31,5,1,4
23,Mark,Daigneault,OKC,1,1,72,22,50,0,0,0
24,Steve,Clifford,ORL,3,8,72,21,51,0,0,0
25,Doc,Rivers,PHI,1,22,72,49,23,12,7,5
26,Monty,Williams,PHO,2,7,72,51,21,22,14,8
27,Terry,Stotts,POR,9,13,72,42,30,6,2,4
28,Luke,Walton,SAC,2,5,72,31,41,0,0,0
29,Gregg,Popovich,SAS,25,25,72,33,39,0,0,0
30,Nick,Nurse,TOR,3,3,72,27,45,0,0,0
31,Quin,Snyder,UTA,7,7,72,52,20,11,6,5
32,Scott,Brooks,WAS,5,12,72,34,38,5,1,4
